Taxon	AB1	CD2	EF3	GH4
d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__Kryptoniaceae	151	0	0	0
d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__Kryptoniaceae	0	0	0	173
d__Bacteria; p__Caldatribacteriota; c__Caldatribacteriia; o__Caldatribacteriales; f__Caldatribacteriaceae; g__Candidatus_Caldatribacterium; s__uncultured_bacterium	19	0	0	0
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia	0	0	8	0
d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__Desulfosoma	0	204	0	0
d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales	0	0	49	0
d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales; s__uncultured_Aminicenantes	0	0	130	0
d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales; s__uncultured_Aminicenantes	0	0	242	0
d__Bacteria	0	0	22	0
d__Bacteria; p__Desulfobacterota; c__uncultured; o__uncultured; f__uncultured; g__uncultured	0	0	0	187
d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales	0	0	315	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__TRA3-20; g__TRA3-20	0	0	14	0
d__Bacteria; p__LCP-89; c__LCP-89; o__LCP-89; f__LCP-89; g__LCP-89; s__uncultured_bacterium	0	0	107	0
d__Bacteria; p__LCP-89; c__LCP-89; o__LCP-89; f__LCP-89; g__LCP-89; s__uncultured_bacterium	0	0	0	24
d__Bacteria; p__Nitrospirota; c__4-29-1; o__4-29-1; f__4-29-1; g__4-29-1; s__uncultured_bacterium	0	0	0	16
d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_bacterium	0	0	0	12
d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria; o__Syntrophobacterales; f__Thermodesulforhabdaceae; g__Thermodesulforhabdus; s__uncultured_Thermus	0	2	0	0
d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria; o__Syntrophobacterales; f__Thermodesulforhabdaceae; g__Thermodesulforhabdus; s__uncultured_Thermus	0	2	0	0
